KURS;1 USD;1 EUR;1 AUD;1 CYP;1 CZK;1 DKK;1 EEK;1 HKD;100 JPY;1 CAD;1 LTL;1 LVL ;1 MTL;1 NOK;1 ZAR;1 RUB;1 SKK;100 SIT;1 CHF;1 SEK;1 UAH;100 HUF;1 GBP;1 XDR;NR TAB
16.01.2003;3,7914;4,0071;2,2191;6,9345;0,1272;0,5391;0,2561;0,4861;3,2146;2,4713;1,1574;6,4924;9,5498;0,5506;0,4292;0,1192;0,0972;1,7368;2,7391;0,4359;0,7104;1,7075;6,0861;5,1787;11/A/NBP/2003
17.01.2003;3,8091;4,0608;2,254;7,0262;0,1293;0,5463;0,2596;0,4885;3,2361;2,4891;1,1764;6,5397;9,6709;0,5581;0,4311;0,1197;0,0974;1,7604;2,7828;0,4425;0,7141;1,6668;6,1644;5,2395;12/A/NBP/2003
20.01.2003;3,8146;4,0643;2,2501;7,0292;0,1291;0,5468;0,2597;0,4889;3,2273;2,4825;1,1772;6,5342;9,6688;0,5555;0,431;0,1198;0,0974;1,7608;2,782;0,4418;0,7149;1,6612;6,1417;5,2193;13/A/NBP/2003
21.01.2003;3,8195;4,0667;2,2517;7,0261;0,1305;0,5471;0,2599;0,4891;3,2096;2,4801;1,1776;6,5418;9,6688;0,5544;0,4288;0,1199;0,0975;1,7618;2,7812;0,4426;0,7156;1,6483;6,1319;5,2224;14/A/NBP/2003
22.01.2003;3,868;4,1373;2,2718;7,1648;0,1322;0,5564;0,2645;0,4958;3,2703;2,5236;1,1981;6,6468;9,832;0,5586;0,4264;0,1215;0,099;1,792;2,8283;0,4474;0,7249;1,6683;6,229;5,3022;15/A/NBP/2003
23.01.2003;3,9418;4,2413;2,3328;7,3296;0,1343;0,5703;0,2711;0,5056;3,3363;2,5814;1,2283;6,7964;10,0803;0,5729;0,4421;0,1239;0,0994;1,8375;2,8986;0,4588;0,7387;1,702;6,3995;5,4178;16/A/NBP/2003
24.01.2003;3,8688;4,1681;2,2906;7,1969;0,1325;0,5604;0,2664;0,496;3,2753;2,5411;1,207;6,6834;9,9099;0,559;0,4445;0,1216;0,0987;1,8047;2,8444;0,4511;0,7251;1,6881;6,3072;5,3175;17/A/NBP/2003
27.01.2003;3,8481;4,1865;2,281;7,2381;0,1332;0,5629;0,2676;0,4934;3,2716;2,5339;1,2125;6,6829;9,9359;0,5618;0,4412;0,121;0,0993;1,8132;2,8544;0,4523;0,7214;1,7056;6,2964;5,3354;18/A/NBP/2003
28.01.2003;3,8487;4,1563;2,2605;7,1772;0,1329;0,5588;0,2656;0,4936;3,2427;2,5191;1,2041;6,6565;9,8807;0,5558;0,4408;0,1211;0,0991;1,7985;2,8282;0,4502;0,7215;1,7003;6,2893;5,2778;19/A/NBP/2003
29.01.2003;3,8036;4,1385;2,2465;7,1421;0,1316;0,5567;0,2646;0,4877;3,2202;2,4998;1,1987;6,6031;9,8313;0,555;0,4343;0,1196;0,0992;1,792;2,818;0,4482;0,713;1,7055;6,2633;5,2645;20/A/NBP/2003
30.01.2003;3,7993;4,0887;2,2338;7,0635;0,1303;0,5501;0,2613;0,4874;3,1987;2,4898;1,1842;6,5735;9,7396;0,5502;0,441;0,1194;0,0979;1,7689;2,7823;0,4448;0,7124;1,6818;6,2399;5,19;21/A/NBP/2003
31.01.2003;3,8173;4,1286;2,2477;7,1201;0,1308;0,5553;0,2637;0,489;3,2026;2,4926;1,1959;6,6;9,8288;0,5544;0,4442;0,1198;0,099;1,7862;2,8135;0,4481;0,7152;1,6934;6,3061;5,2728;22/A/NBP/2003
03.02.2003;3,8326;4,106;2,236;7,0952;0,1297;0,5521;0,2624;0,4912;3,1753;2,5196;1,1894;6,6008;9,7878;0,548;0,4479;0,1203;0,0979;1,7767;2,7945;0,4438;0,7181;1,6854;6,2807;5,2257;23/A/NBP/2003
04.02.2003;3,8427;4,1486;2,2587;7,1571;0,131;0,5578;0,2652;0,4926;3,1952;2,5287;1,2018;6,6409;9,8729;0,5544;0,4534;0,1207;0,0993;1,795;2,8265;0,4492;0,72;1,6994;6,3154;5,2964;24/A/NBP/2003
05.02.2003;3,8191;4,1718;2,2654;7,2021;0,131;0,561;0,2666;0,4902;3,2053;2,5252;1,2085;6,6504;9,9081;0,5528;0,4584;0,1201;0,0997;1,8056;2,8443;0,4507;0,7161;1,7013;6,3156;5,2971;25/A/NBP/2003
06.02.2003;3,858;4,1668;2,278;7,1872;0,1317;0,5605;0,2663;0,4949;3,2174;2,5368;1,2069;6,6808;9,9174;0,5549;0,4561;0,1212;0,0998;1,8031;2,8397;0,453;0,7232;1,6995;6,3455;5,2744;26/A/NBP/2003
07.02.2003;3,8575;4,1489;2,2736;7,1557;0,1308;0,5583;0,2651;0,4941;3,2077;2,5317;1,2013;6,6606;9,8642;0,554;0,4567;0,1211;0,0989;1,7942;2,8282;0,4521;0,7221;1,6833;6,271;5,2743;27/A/NBP/2003
10.02.2003;3,8585;4,1681;2,2878;7,1882;0,1312;0,5609;0,2664;0,4948;3,2032;2,5319;1,2074;6,6796;9,9064;0,5573;0,4596;0,1213;0,0993;1,803;2,8421;0,4548;0,723;1,6944;6,2957;5,2957;28/A/NBP/2003
11.02.2003;3,8712;4,1332;2,2742;7,1231;0,1301;0,5561;0,2642;0,4965;3,1855;2,5261;1,1971;6,6643;9,8374;0,5541;0,4536;0,1219;0,0985;1,7878;2,8169;0,4511;0,7256;1,6856;6,2662;5,2495;29/A/NBP/2003
12.02.2003;3,8498;4,1425;2,2777;7,1422;0,1303;0,5572;0,2648;0,4938;3,1908;2,5203;1,1998;6,6493;9,8408;0,5552;0,4581;0,1216;0,0985;1,7913;2,8245;0,4525;0,7217;1,6903;6,2439;5,2802;30/A/NBP/2003
13.02.2003;3,8548;4,1556;2,2792;7,1698;0,1318;0,5591;0,2656;0,4944;3,1873;2,5263;1,2039;6,6569;9,8661;0,5546;0,4618;0,1218;0,0991;1,7966;2,83;0,4559;0,7224;1,7008;6,242;5,2959;31/A/NBP/2003
14.02.2003;3,8559;4,1705;2,2933;7,1936;0,133;0,5612;0,2665;0,4943;3,2024;2,5454;1,208;6,6696;9,8909;0,5536;0,4636;0,1218;0,0994;1,8025;2,8395;0,457;0,7227;1,7006;6,2372;5,3053;32/A/NBP/2003
17.02.2003;3,873;4,1453;2,287;7,1495;0,1317;0,5578;0,265;0,4965;3,2185;2,543;1,2006;6,6725;9,837;0,5522;0,4617;0,1227;0,0988;1,791;2,8148;0,4545;0,726;1,6881;6,1986;5,2635;33/A/NBP/2003
18.02.2003;3,8631;4,1422;2,2816;7,1393;0,1314;0,5573;0,2647;0,4952;3,2413;2,5394;1,1998;6,6691;9,825;0,5502;0,4589;0,1224;0,0986;1,7896;2,8181;0,4544;0,7241;1,6835;6,175;5,2595;34/A/NBP/2003
19.02.2003;3,8705;4,1496;2,2935;7,1539;0,1316;0,5583;0,2652;0,4961;3,2566;2,5588;1,202;6,6805;9,8355;0,5508;0,4603;0,1225;0,0987;1,7931;2,8195;0,4557;0,7251;1,6857;6,1713;5,2689;35/A/NBP/2003
20.02.2003;3,8882;4,1874;2,32;7,2172;0,1324;0,5635;0,2676;0,4987;3,2759;2,5784;1,213;6,7251;9,9204;0,555;0,4738;0,1233;0,0994;1,8096;2,8495;0,4597;0,729;1,6983;6,216;5,3169;36/A/NBP/2003
21.02.2003;3,879;4,2036;2,3221;7,2426;0,1324;0,5657;0,2686;0,497;3,2773;2,5753;1,2176;6,7209;9,9341;0,5567;0,4796;0,1228;0,0996;1,8153;2,8659;0,4605;0,7272;1,7061;6,1831;5,351;37/A/NBP/2003
24.02.2003;3,8902;4,1849;2,3413;7,2122;0,1319;0,5632;0,2675;0,4988;3,2917;2,593;1,2112;6,7168;9,8934;0,5535;0,4806;0,1233;0,099;1,8078;2,8501;0,4587;0,7289;1,7045;6,1434;5,3016;38/A/NBP/2003
25.02.2003;3,8824;4,1937;2,3599;7,2262;0,133;0,5646;0,268;0,4981;3,3106;2,6045;1,2146;6,7234;9,9083;0,5494;0,4791;0,1229;0,0995;1,8064;2,863;0,4598;0,7281;1,7156;6,1581;5,3532;39/A/NBP/2003
26.02.2003;3,885;4,1793;2,3526;7,1976;0,1323;0,5626;0,267;0,4977;3,3073;2,597;1,2104;6,7094;9,8685;0,5479;0,4809;0,1229;0,0997;1,8039;2,8607;0,4589;0,7278;1,711;6,1141;5,3198;40/A/NBP/2003
27.02.2003;3,8873;4,1965;2,3604;7,226;0,1326;0,565;0,2682;0,4983;3,3241;2,6068;1,2153;6,7327;9,9149;0,5443;0,4783;0,1231;0,1003;1,812;2,8696;0,4614;0,7287;1,7236;6,1492;5,3429;41/A/NBP/2003
28.02.2003;3,9135;4,2083;2,37;7,2463;0,1327;0,5665;0,2691;0,5019;3,3234;2,6208;1,2188;6,7641;9,9499;0,5438;0,4837;0,1239;0,1007;1,8171;2,8765;0,4611;0,7336;1,729;6,1769;5,3409;42/A/NBP/2003
03.03.2003;3,9588;4,2741;2,4232;7,359;0,1342;0,5754;0,2732;0,5078;3,3558;2,6682;1,2376;6,8479;10,0876;0,5547;0,4902;0,1254;0,102;1,8448;2,9237;0,4666;0,7421;1,747;6,2332;5,4342;43/A/NBP/2003
04.03.2003;3,9518;4,3126;2,4286;7,4227;0,1353;0,5805;0,2757;0,5063;3,3591;2,6565;1,2489;6,8617;10,1557;0,5549;0,495;0,125;0,1029;1,8612;2,9552;0,4687;0,7409;1,76;6,2497;5,4699;44/A/NBP/2003
05.03.2003;3,9314;4,3133;2,4255;7,4252;0,1356;0,5807;0,2757;0,5041;3,3487;2,6699;1,249;6,8492;10,1561;0,5542;0,4962;0,1244;0,1029;1,8609;2,9572;0,469;0,737;1,7597;6,262;5,4351;45/A/NBP/2003
06.03.2003;3,9093;4,2813;2,4011;7,3669;0,1345;0,5764;0,2737;0,5014;3,3303;2,6569;1,2397;6,8152;10,1022;0,5548;0,4885;0,1238;0,1025;1,8468;2,9337;0,4666;0,7333;1,7466;6,2734;5,3875;46/A/NBP/2003
07.03.2003;3,8959;4,2977;2,4007;7,3933;0,135;0,5788;0,2747;0,4997;3,3254;2,65;1,2446;6,8109;10,1218;0,5462;0,4871;0,1235;0,1028;1,8439;2,9341;0,4654;0,7307;1,7531;6,2539;5,4086;47/A/NBP/2003
10.03.2003;3,9335;4,3412;2,4213;7,4674;0,1367;0,5846;0,2776;0,5046;3,3743;2,6888;1,2573;6,8766;10,2098;0,546;0,4959;0,1247;0,1038;1,8627;2,9546;0,4696;0,7376;1,7687;6,2757;5,4426;48/A/NBP/2003
11.03.2003;3,9527;4,3653;2,417;7,5063;0,1374;0,5878;0,279;0,5067;3,3734;2,6976;1,2641;6,8968;10,2689;0,5496;0,4992;0,1255;0,1043;1,8827;2,978;0,4714;0,7408;1,7787;6,3215;5,4736;49/A/NBP/2003
12.03.2003;3,9639;4,3693;2,374;7,5055;0,1381;0,5882;0,2792;0,5082;3,3795;2,685;1,2652;6,9042;10,2965;0,5538;0,4946;0,1262;0,1044;1,886;2,9764;0,47;0,7434;1,7806;6,3869;5,4622;50/A/NBP/2003
13.03.2003;4,0287;4,398;2,3918;7,5593;0,1392;0,5922;0,2811;0,5165;3,4135;2,724;1,2736;6,9859;10,3849;0,5618;0,4985;0,1283;0,1053;1,9133;2,9955;0,4738;0,7548;1,7947;6,4619;5,523;51/A/NBP/2003
14.03.2003;3,999;4,3077;2,3855;7,3952;0,1363;0,5799;0,2753;0,5126;3,3705;2,6926;1,2479;6,8978;10,2006;0,5529;0,4863;0,1274;0,1032;1,8993;2,935;0,4674;0,7492;1,7625;6,3856;5,4579;52/A/NBP/2003
17.03.2003;4,0265;4,3504;2,4153;7,4544;0,1375;0,5856;0,2781;0,5161;3,4189;2,7398;1,2605;6,9529;10,2761;0,5563;0,4969;0,1283;0,1043;1,8766;2,9665;0,4718;0,7547;1,7765;6,3635;5,5301;53/A/NBP/2003
18.03.2003;4,0648;4,3138;2,4032;7,3841;0,1367;0,5808;0,2757;0,5216;3,4276;2,743;1,2494;6,9718;10,2235;0,5493;0,4956;0,1295;0,1033;1,8594;2,9344;0,4684;0,7617;1,763;6,3832;5,4743;54/A/NBP/2003
