data;1 THB;1 USD;1 AUD;1 HKD;1 CAD;1 NZD;1 SGD;1 EUR;100 HUF;1 CHF;1 GBP;1 UAH;100 JPY;1 CZK;1 DKK;100 ISK;1 NOK;1 SEK;1 RON;1 BGN;1 TRY;1 ILS;100 CLP;1 PHP;1 MXN;1 ZAR;1 BRL;1 MYR;10000 IDR;100 INR;100 KRW;1 CNY;1 XDR;nr tabeli;peˆny numer tabeli
20230201;0,1317;4,3254;3,0579;0,5515;3,2505;2,7851;3,2952;4,708;1,2068;4,7222;5,3279;0,1258;3,3307;0,1979;0,6329;3,0711;0,4343;0,415;0,9577;2,4071;0,2299;1,2553;0,5433;0,0794;0,2303;0,249;0,8525;1,014;2,8884;5,2784;0,3515;0,6416;5,8604;22;022/A/NBP/2023
20230202;0,1305;4,2803;3,0524;0,5456;3,2232;2,7908;3,2772;4,7079;1,2143;4,7147;5,2838;0,1258;3,3201;0,198;0,6329;3,067;0,4312;0,4149;0,9606;2,4071;0,2276;1,2522;0,5442;0,0795;0,231;0,2507;0,8467;1,0081;2,8765;5,2086;0,35;0,6366;5,8407;23;023/A/NBP/2023
20230203;0,1303;4,2928;3,0303;0,5471;3,2162;2,7779;3,2749;4,692;1,2181;4,7023;5,2571;0,1258;3,3391;0,1976;0,6303;3,0527;0,428;0,4141;0,9576;2,399;0,228;1,2634;0,5504;0,08;0,2299;0,2507;0,8499;1,0082;2,8825;5,2444;0,3487;0,6368;5,7961;24;024/A/NBP/2023
20230206;0,1302;4,3833;3,0225;0,5586;3,2624;2,7654;3,3083;4,7195;1,2118;4,7458;5,2764;0,1258;3,3222;0,198;0,634;3,0746;0,4265;0,4137;0,9628;2,413;0,2328;1,2681;0,5501;0,0805;0,23;0,2492;0,8507;1,0294;2,9115;5,2973;0,3491;0,6466;5,8408;25;025/A/NBP/2023
20230207;0,1319;4,4325;3,0754;0,5647;3,3049;2,8048;3,3419;4,7476;1,2088;4,7856;5,3212;0,1258;3,3628;0,1992;0,638;3,105;0,4284;0,417;0,9683;2,4274;0,2355;1,2777;0,5516;0,0803;0,232;0,2516;0,8612;1,0301;2,9267;5,3596;0,3518;0,6532;5,9111;26;026/A/NBP/2023
20230208;0,1317;4,4074;3,079;0,5615;3,2967;2,7958;3,3318;4,7402;1,2166;4,8004;5,3351;0,1258;3,3728;0,1993;0,6368;3,1371;0,4308;0,4184;0,9682;2,4236;0,2341;1,2705;0,5557;0,0804;0,2337;0,2517;0,8459;1,0253;2,9188;5,3423;0,3503;0,6498;5,9308;27;027/A/NBP/2023
20230209;0,1315;4,4003;3,07;0,5606;3,2826;2,8008;3,3285;4,7363;1,2299;4,7912;5,3427;0,1258;3,363;0,1996;0,6364;3,1304;0,433;0,4232;0,9691;2,4216;0,2336;1,2604;0,549;0,0808;0,2331;0,2487;0,846;1,0195;2,9152;5,3321;0,3496;0,6492;5,9205;28;028/A/NBP/2023
20230210;0,1319;4,4565;3,0897;0,5676;3,3167;2,8198;3,358;4,7716;1,2262;4,8283;5,3922;0,1258;3,4035;0,2008;0,6409;3,1579;0,4386;0,4285;0,9735;2,4397;0,2368;1,2688;0,5561;0,0818;0,2374;0,2503;0,8422;1,0286;2,9448;5,4018;0,3524;0,655;5,9516;29;029/A/NBP/2023
20230213;0,1323;4,4856;3,1041;0,5714;3,3562;2,839;3,3664;4,7895;1,2339;4,8582;5,4003;0,1258;3,3807;0,2017;0,6429;3,1407;0,4412;0,4292;0,9771;2,4488;0,2382;1,2679;0,5619;0,0818;0,24;0,249;0,86;1,0282;2,952;5,422;0,3514;0,6569;6,0033;30;030/A/NBP/2023
20230214;0,1315;4,4463;3,0992;0,5664;3,3339;2,8186;3,3531;4,7847;1,251;4,8519;5,4193;0,1258;3,3677;0,2013;0,6421;3,113;0,4412;0,4313;0,9761;2,4464;0,2359;1,2688;0,5586;0,0811;0,2396;0,2493;0,8617;1,0225;2,933;5,3724;0,3509;0,6526;5,9865;31;031/A/NBP/2023
20230215;0,1293;4,4372;3,0671;0,5654;3,3123;2,7902;3,3282;4,7593;1,2551;4,8105;5,3674;0,1258;3,327;0,2007;0,6386;3,1046;0,4362;0,4276;0,9714;2,4334;0,2354;1,2564;0,5652;0,0804;0,2382;0,2465;0,8545;1,0102;2,9186;5,3586;0,3456;0,6485;5,9349;32;032/A/NBP/2023
